year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1851,0.118317241,0.11901859,0.146657508,0.145314656,0.076942331,0.113703366,0.204082499,0.166245862,0.289780324,0.095344767,0.490790111,0.41907501,0.311532524,0.337716743,0.227468228,0.311610037,0.262338499,0.437397412,0.30242792,0.490761163,0.150385693,0.198085872,0.307805836,0.047146178,0.273975112,0.306057806
1852,0.122381609,0.123046837,0.148132639,0.146939896,0.078281635,0.115294068,0.205640422,0.167284174,0.293207257,0.096221636,0.492983246,0.423346244,0.312493987,0.340510047,0.229349651,0.314730902,0.263394458,0.438939002,0.30272423,0.486467665,0.151691801,0.200378394,0.3089367,0.052195248,0.275657511,0.309226283
1853,0.126445977,0.127562765,0.149607769,0.148565136,0.07962094,0.11688477,0.207198345,0.168322485,0.29663419,0.097098505,0.4950626,0.427617477,0.313455451,0.343303352,0.231231074,0.317851767,0.264450416,0.440486137,0.303020539,0.482213547,0.15299791,0.202696484,0.310067564,0.057954545,0.27733991,0.31239476
1854,0.130510345,0.131098453,0.151082899,0.150190375,0.080960244,0.118486076,0.208756269,0.169360796,0.300061122,0.097975374,0.497264269,0.431888711,0.314416914,0.346096656,0.233112497,0.320972632,0.265506374,0.442040665,0.303316848,0.477996422,0.154304019,0.20504014,0.311208012,0.064165806,0.279022309,0.315563237
1855,0.134574713,0.1351267,0.152558029,0.151815615,0.082299549,0.120087383,0.210314192,0.170399107,0.303488055,0.098852243,0.499630921,0.436159945,0.315378377,0.348889961,0.23499392,0.324093496,0.266562332,0.443598891,0.303613157,0.473817485,0.155610127,0.207417887,0.312358043,0.070635331,0.280704708,0.318731715
1856,0.13863908,0.139159823,0.15403316,0.153440855,0.083638853,0.121688689,0.211872115,0.171437419,0.306914988,0.099729112,0.502148333,0.440431179,0.31633984,0.351683266,0.236875343,0.327214361,0.267618291,0.445162662,0.303909466,0.469674348,0.156916236,0.209812678,0.313498491,0.07620093,0.282387107,0.321900192
1857,0.142703448,0.143183193,0.15550829,0.155066094,0.084978157,0.123289996,0.213430039,0.17247573,0.31034192,0.100605981,0.504805127,0.444702413,0.317301303,0.35447657,0.238756766,0.330335226,0.268674249,0.446733826,0.304205775,0.465569398,0.158222345,0.212241559,0.314658105,0.082347624,0.284069506,0.325068669
1858,0.146767816,0.147211439,0.15698342,0.156691334,0.086317462,0.124901907,0.214987962,0.173514041,0.313768853,0.10148285,0.507752064,0.448973647,0.318262766,0.357269875,0.240638189,0.33345609,0.269730207,0.448308688,0.304502084,0.461500249,0.159528453,0.214696006,0.315808136,0.087719525,0.285751905,0.328237146
1859,0.150832184,0.151239686,0.15845855,0.158316574,0.087656766,0.126513818,0.216545885,0.174552352,0.317195786,0.102359719,0.510906652,0.453244881,0.31922423,0.360063179,0.242519612,0.336576955,0.270786166,0.449889094,0.304798393,0.4574669,0.160834562,0.217184544,0.316977335,0.090831612,0.287434304,0.331405623
1860,0.154896552,0.155272809,0.159933681,0.159941814,0.08899607,0.128136334,0.218103808,0.175590664,0.320622718,0.103236588,0.514217689,0.457516114,0.320185693,0.362856484,0.244401035,0.33969782,0.271842124,0.451476895,0.305094702,0.453469351,0.162140671,0.219698648,0.31813695,0.094137397,0.289116704,0.3345741
1861,0.156790805,0.159364454,0.161408811,0.161567053,0.090335375,0.129748245,0.219661732,0.176628975,0.324049651,0.104113456,0.517716465,0.461787348,0.321147156,0.365649788,0.246282458,0.342818684,0.272898082,0.453068392,0.305391011,0.451162771,0.163446779,0.22223832,0.319306148,0.09645532,0.290799103,0.337742577
1862,0.158685057,0.163451222,0.162883941,0.163192293,0.091674679,0.131381365,0.221219655,0.177667286,0.327476584,0.104990325,0.521274976,0.466058582,0.322108619,0.368443093,0.248163881,0.345939549,0.27395404,0.454665434,0.30568732,0.448869318,0.164752888,0.224812081,0.32048493,0.099806302,0.292481502,0.340911055
1863,0.16057931,0.167542867,0.164359072,0.164817533,0.093013984,0.133003881,0.222777578,0.178705597,0.330903516,0.105867194,0.524904601,0.470329816,0.323070082,0.371236398,0.250045304,0.349060414,0.275009999,0.456269871,0.30598363,0.446586605,0.166058997,0.22741141,0.321663712,0.104061209,0.294163901,0.344079532
1864,0.162473563,0.171624759,0.165834202,0.166442772,0.094353288,0.134637002,0.224335502,0.179743908,0.334330449,0.106744063,0.528485868,0.47460105,0.324031545,0.374029702,0.251926727,0.352181279,0.276065957,0.457878004,0.306279939,0.444317019,0.167365105,0.230044828,0.322842494,0.109155475,0.2958463,0.347248009
