t,Region,Urban,Rural
1984,14,19.94358,25.99276
1984,15,15.17848,20.14324
1984,16,18.83759,24.31839
1984,17,16.44622,21.55518
1984,18,5.643554,7.658144
1984,19,16.37183,21.35756
1984,20,7.32455,9.955257
1984,21,8.621066,11.6299
1984,22,8.300097,11.25186
1984,23,21.95028,28.66932
1984,24,34.73775,44.09081
1984,25,10.72001,14.58955
1984,26,7.014668,9.553519
1984,27,0,0
1985,1,33.36185,42.67233
1985,2,40.40939,51.83926
1985,3,24.58543,31.78424
1985,4,13.7623,18.18808
1985,5,16.18667,20.9014
1985,6,12.58786,16.20811
1985,7,12.26612,16.25353
1985,8,7.932065,10.69337
1985,9,4.918821,6.735672
1985,10,7.60042,10.04465
1985,11,33.45195,43.05499
1985,12,25.22966,33.04845
1985,13,19.50313,25.6921
1985,14,19.75608,25.72855
1985,15,15.1028,20.04206
1985,16,18.73378,24.17125
1985,17,16.24012,21.26893
1985,18,5.661216,7.680048
1985,19,16.73403,21.80112
1985,20,8.039131,10.91822
1985,21,8.591906,11.58534
1985,22,8.365644,11.33124
1985,23,22.4401,29.30258
1985,24,34.80172,44.17671
1985,25,10.74388,14.61625
1985,26,6.976843,9.495951
1985,27,0,0
1986,1,34.06208,43.56472
1986,2,41.55191,53.29182
1986,3,24.05788,31.08231
1986,4,13.82049,18.25669
1986,5,16.08089,20.74236
1986,6,12.87918,16.57266
1986,7,12.11767,16.05112
1986,8,8.025031,10.81308
1986,9,4.881042,6.681279
1986,10,7.455935,9.848211
1986,11,34.07128,43.84451
1986,12,25.51398,33.40916
1986,13,19.99756,26.30576
1986,14,20.32878,26.45965
1986,15,15.20743,20.18388
1986,16,19.02347,24.53622
1986,17,15.70236,20.55407
1986,18,5.662946,7.68042
1986,19,17.19851,22.37344
1986,20,8.446082,11.46208
1986,21,8.548318,11.52106
1986,22,8.374714,11.33288
1986,23,22.87978,29.85968
1986,24,36.011,45.70671
1986,25,10.74143,14.60777
1986,26,6.921273,9.41394
1986,27,0,0
1987,1,34.86485,44.58809
1987,2,42.49409,54.48668
1987,3,23.82927,30.76701
1987,4,13.8035,18.22595
1987,5,15.48276,19.94878
1987,6,13.14946,16.90952
1987,7,11.91928,15.78271
1987,8,8.002935,10.77771
1987,9,4.903832,6.709808
1987,10,7.577926,10.00376
1987,11,34.62801,44.55317
1987,12,25.6968,33.63671
1987,13,20.7393,27.24219
1987,14,20.42653,26.57199
1987,15,15.20209,20.17977
1987,16,19.06518,24.58112
1987,17,15.61115,20.42412
1987,18,5.669757,7.687681
1987,19,17.64279,22.91716
1987,20,9.0885,12.32442
1987,21,8.592537,11.57513
1987,22,8.383053,11.33356
1987,23,23.44735,30.58283
1987,24,36.01397,45.70544
1987,25,10.74387,14.60595
1987,26,6.993778,9.506137
1987,27,0,0
1988,1,35.70014,45.65286
1988,2,43.48906,55.74849
1988,3,23.82295,30.73866
1988,4,14.11534,18.6292
1988,5,15.44934,19.88316
1988,6,12.97941,16.6799
1988,7,11.87501,15.7185
1988,8,8.021032,10.79649
1988,9,4.900012,6.701922
1988,10,7.809381,10.30355
1988,11,35.21746,45.30365
1988,12,25.464,33.32022
1988,13,20.75619,27.22479
1988,14,20.64564,26.84188
1988,15,15.21496,20.19982
1988,16,19.16019,24.69462
1988,17,15.39108,20.12576
1988,18,5.710553,7.741008
1988,19,18.17259,23.56936
1988,20,9.82266,13.30977
1988,21,8.670691,11.67485
1988,22,8.284949,11.19048
1988,23,24.13102,31.45639
1988,24,36.44964,46.25326
1988,25,10.72852,14.57996
1988,26,6.965624,9.461492
1988,27,0,0
1989,1,36.28581,46.39828
1989,2,44.07519,56.48564
1989,3,24.43229,31.50393
1989,4,14.14996,18.66639
1989,5,14.91161,19.16883
1989,6,12.53044,16.09222
1989,7,11.98579,15.85948
1989,8,7.979857,10.73551
1989,9,4.907403,6.709374
1989,10,7.855112,10.35809
1989,11,35.71511,45.93577
1989,12,25.50964,33.36813
1989,13,20.56191,26.9304
1989,14,19.81909,25.75261
1989,15,15.00631,19.92573
1989,16,18.77284,24.1865
1989,17,15.68159,20.49495
1989,18,5.732072,7.768184
1989,19,18.88396,24.45377
1989,20,9.947656,13.46884
1989,21,8.748927,11.77458
1989,22,8.360209,11.28163
1989,23,24.81248,32.32592
1989,24,37.15749,47.14626
1989,25,10.71672,14.5588
1989,26,7.077671,9.607227
1989,27,0,0
1990,1,36.20309,46.289
1990,2,44.47363,56.98185
1990,3,24.9677,32.17262
1990,4,13.97881,18.43218
1990,5,15.04403,19.31595
1990,6,12.29843,15.78357
1990,7,11.991,15.86072
1990,8,7.961767,10.70563
1990,9,4.907173,6.706408
1990,10,7.901589,10.41353
1990,11,36.07409,46.38928
1990,12,22.64579,29.61153
1990,13,21.67312,28.34368
1990,14,19.89301,25.83385
1990,15,15.14552,20.11353
1990,16,18.96594,24.42625
1990,17,15.21211,19.87095
1990,18,5.75789,7.801173
1990,19,19.5459,25.27036
1990,20,10.24687,13.86339
1990,21,8.879013,11.94397
1990,22,8.548392,11.52487
1990,23,25.45744,33.14677
1990,24,38.29357,48.58232
1990,25,10.7324,14.57499
1990,26,6.991484,9.483875
1990,27,0,0
1991,1,35.32039,45.14386
1991,2,44.24333,56.65166
1991,3,25.30237,32.58628
1991,4,14.02723,18.48466
1991,5,15.46604,19.83563
1991,6,12.71797,16.31157
1991,7,12.06858,15.95839
1991,8,7.965537,10.70533
1991,9,4.909587,6.707179
1991,10,7.683859,10.12135
1991,11,36.32702,46.7061
