t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1984,24299.49099,27399.11035,10138.40811,6230.194612,6756.0773,6485.091699,4019.197074,1248.601367,796.7989908,7975.078219,20068.35043,9998.942657,6117.527825,7215.340985,3403.175336,10957.45458,8780.680109,959.7208683,5384.711769,1174.035267,2067.952466,1596.257787,20079.03598,18240.44853,1039.595093,1202.170019
1985,25161.78243,28234.17551,10211.45637,6246.893794,7139.268174,6324.581682,4133.836191,1284.187698,761.3654882,7693.74898,20546.55186,10119.89874,6252.194105,7231.610478,3404.664736,11014.04319,8386.904218,987.930568,5651.162459,1264.866567,2004.524119,1619.960635,20981.6591,18793.3534,1068.855052,1209.845014
1986,25435.68543,28889.26708,9644.587848,6258.290344,7553.835578,6619.767142,4022.011434,1285.1687,779.3806464,7524.999828,21072.91833,10397.68906,6565.622083,7289.013753,3410.315423,11055.36418,8004.079687,1012.685031,6122.170306,1367.060706,2017.114568,1683.776482,21501.41381,19283.07208,1091.994691,1206.849906
1987,26146.48985,29519.71156,9637.39845,6322.336995,7673.975094,6768.01065,3838.14025,1240.092894,820.213629,7521.477335,21595.54001,10568.02385,7059.5103,7368.785997,3423.746983,11175.17756,7868.793699,1030.271137,6668.251134,1508.311133,2101.155206,1739.577014,22230.42111,19407.45518,1105.739758,1246.922483
1988,27050.9153,30379.84628,9570.520127,6374.894134,7523.531477,6733.678707,3884.930052,1261.000525,821.2789232,7675.216577,22415.34615,10695.18183,7097.416909,7549.069439,3599.354727,11651.14438,7680.811494,1105.686322,7243.802103,1632.841889,2244.821043,1815.883502,23653.65887,19983.33618,1127.968094,1289.006627
1989,27366.55658,31081.9549,9780.727643,6447.625101,7631.712791,6376.970521,3957.569883,1274.070558,834.4101968,7691.660364,23141.94146,10679.19599,6995.140295,7846.57275,3687.181568,12317.96208,7655.95454,1146.96856,7616.010481,1689.233404,2393.997403,1942.181771,24823.57026,20351.25223,1137.221587,1291.151391
1990,27052.81531,31284.72514,10079.6575,6380.925547,7178.574331,6390.963099,4004.540651,1265.347991,821.6528416,7495.16087,23740.98587,9924.172559,7510.979336,7488.863034,3843.501622,11860.85375,7916.439585,1185.312289,8160.818886,1736.461912,2526.197101,2076.523819,26025.36273,20744.1347,1161.731132,1291.266629
1991,26156.03486,30855.28335,10305.08583,6276.783287,7167.804108,6732.243325,4053.060032,1257.346479,812.7500886,7242.420143,24072.14764,8845.061308,7433.462717,6909.821642,3460.796112,11207.93548,8032.401181,1173.358196,8775.825143,1852.535104,2623.858586,2225.444996,26798.43537,20326.68426,1179.253422,1284.605494
1992,26074.7745,31508.39555,10476.68053,6233.967545,7022.369061,7080.655134,4021.331645,1227.553982,803.2378063,6913.046241,24256.64214,8251.990542,7671.898163,6198.245059,3146.030145,9502.626161,8477.415359,1212.586913,9147.685415,2040.275892,2737.395579,2351.379568,26954.83754,20101.76925,1223.416399,1213.921964
1993,26389.05893,31972.55769,10480.59883,6199.818593,7238.053433,7195.210523,3965.027936,1194.14048,814.6620589,6826.668414,24107.8838,8068.821221,8115.38409,5407.860582,2840.360341,8647.017009,8408.715893,1245.062072,9574.645963,2243.661214,2893.716426,2488.523031,26917.76274,20636.25944,1220.912811,1108.931063
